"","date","nPoints.x","nWins.x","nDraws.x","nLoses.x","goalsScored.x","goalsLost.x","nPoints.y","nWins.y","nDraws.y","nLoses.y","goalsScored.y","goalsLost.y","class"
"1","00",73,22,7,3,70,22,23,7,2,1,19,6,"1"
"2","01",64,20,4,8,78,41,22,7,1,2,24,9,"1"
"3","02",67,20,7,5,55,27,26,8,2,0,20,5,"1"
"4","03",68,21,5,6,59,31,18,5,3,2,19,16,"1"
"5","04",67,19,10,3,48,19,23,7,2,1,15,6,"1"
"6","05",72,22,6,4,64,30,27,9,0,1,23,10,"1"
"7","06",78,25,3,4,75,23,24,8,0,2,26,8,"1"
"8","07",76,24,4,4,68,15,25,8,1,1,24,4,"1"
"9","08",74,23,5,4,56,21,24,8,0,2,17,11,"1"
"10","09",72,23,3,6,76,25,25,8,1,1,27,6,"1"
"11","10",69,20,9,3,70,32,21,7,0,3,22,13,"1"
"12","11",79,25,4,3,78,27,28,9,1,0,24,6,"1"
"13","12",80,26,2,4,73,33,25,8,1,1,17,4,"1"
"14","13",54,16,6,10,52,38,17,5,2,3,16,11,"2"
"15","14",65,19,8,5,59,30,25,8,1,1,23,9,"1"
"16","15",53,15,8,9,39,30,16,5,1,4,11,10,"1"
"17","16",63,17,12,3,50,24,22,6,4,0,17,3,"2"
"18","17",71,22,5,5,63,25,24,8,0,2,18,9,"1"
"19","18",61,18,7,7,61,43,20,6,2,2,17,11,"2"
"20","93",72,21,9,2,66,30,19,5,4,1,22,12,"1"
"21","94",69,21,6,5,63,22,23,7,2,1,21,3,"1"
"22","95",67,20,7,5,59,30,26,8,2,0,18,3,"1"
"23","96",63,18,9,5,63,36,22,7,1,2,19,10,"1"
"24","97",63,19,6,7,60,23,14,4,2,4,9,7,"1"
"25","98",67,19,10,3,72,32,26,8,2,0,23,6,"2"
"26","99",73,22,7,3,80,39,23,7,2,1,27,13,"1"
